product_name,category_id,price,stock_quantity,description,image_url
JAODAH (OUR IMPRESSION OF TOMFORD'S) BY FAWWAHA (100ML SPRAY FORM),2,3491,87,"<h3>Product Details:</h3>
Say hello to <strong>JAODAH </strong>by <strong>Fawwaha </strong>our inspired version of <strong>Tom Ford’s</strong> iconic Oud Wood! JAODAH is a smoky, incense-rich fragrance that beautifully blends wood and spices for a luxurious, exotic vibe. With notes like Agarwood (Oud), Brazilian Rosewood, Sandalwood, Cardamom, Vanilla, Sichuan Pepper, Vetiver, Tonka Bean, and Amber, this fragrance offers a sophisticated and unforgettable experience.

Whether you're a man or a woman, this scent is perfect for anyone who loves a strong, woody, and spicy aroma.
<h3>Fragrance Notes</h3>
<h4>Top Notes:</h4>
<ul>
 	<li>Agarwood (Oud)</li>
 	<li>Brazilian Rosewood</li>
 	<li>Sandalwood</li>
</ul>
<h4>Middle Notes:</h4>
<ul>
 	<li>Cardamom</li>
 	<li>Sichuan Pepper</li>
</ul>
<h4>Base Notes:</h4>
<ul>
 	<li>Vanilla</li>
 	<li>Vetiver</li>
 	<li>Tonka Bean</li>
 	<li>Amber</li>
</ul>
<h4>Why You'll Love JAODAH</h4>
<ol>
 	<li>An affordable yet luxurious alternative to Tom Ford’s Oud Wood.</li>
 	<li>Long-lasting and bold – perfect for any occasion.</li>
 	<li>Beautiful packaging and a free sample included.</li>
</ol>
<h4>Sizes &amp; Packaging</h4>
<strong>100 ml Bottle</strong>: Perfect for everyday use or to keep on your vanity.

<strong><img/></strong>
<h4><strong>Original Picture &amp; Video</strong></h4>
<img/>

[video width=""720"" height=""1280"" mp4=""https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Video-2025-05-12-at-4.28.04-PM.mp4""][/video]","https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/Long-Men-Jaodah-1.webp,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-12-at-4.27.45-PM-1.jpeg,"
Luxurious Design Watch for Women | Michael Kors Watch | New Luxury Design,1,1521,45,"<h2>Luxurious Design Watch for Women | Michael Kors Watch | New Luxury Design</h2>
<strong>Description:</strong>

Elevate your style with the <strong>New Luxurious Design Watch</strong>, crafted for both men and women. Featuring a sleek quartz movement and modern luxury detailing, this versatile timepiece blends elegance with everyday durability—perfect for any occasion.
<p>Timeless elegance meets modern design in this <strong>luxury watch</strong>, ideal for both men and women. Powered by reliable quartz movement, it adds a refined touch to your daily or formal wear.</p>
<p><strong>Key Features:</strong></p>

<ul>
 	<li>
<p><strong>Luxury Look</strong> – Sleek dial with premium finish</p>
</li>
 	<li>
<p><strong>Quartz Movement</strong> – Accurate &amp; low-maintenance</p>
</li>
 	<li>
<p><strong>Comfortable Strap</strong> – Adjustable fit for all wrist sizes</p>
</li>
 	<li>
<p><strong>Scratch-Resistant Glass</strong> – Durable and long-lasting</p>
</li>
 	<li>
<p><strong>Lightweight &amp; Stylish</strong> – Perfect for daily wear</p>
</li>
 	<li>
<p><strong>Gift-Ready Packaging</strong> – Ideal for birthdays, anniversaries &amp; more</p>
</li>
 	<li>
<p><strong>Suitable for All Occasions</strong> – Casual, business, or formal events</p>
</li>
</ul>
&nbsp;
<h3>Real Video &amp; Images of the Product:</h3>
[video width=""372"" height=""850"" mp4=""https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Video-2025-05-17-at-2.59.43-PM.mp4""][/video]

<img/> <img/> <img/>","https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/a8a4b040-8ea4-485c-a0fa-cb7b15665d7e.jpg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.59.03-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.59.04-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.59.05-PM.jpeg,"
Junoon Perfume By Fawwaha - 100ml Spray | Best Quality Perfume,1,6674,81,"<h4>Product Description:</h4>
<p>Junoon is a refined unisex fragrance that balances elegance and strength. It opens with the sweet richness of Raspberry and Saffron, transitions into a warm heart of Amber and Vanilla, and finishes with bold Leather and Olibanum, offering a powerful and unforgettable scent experience.</p>

<ul>
 	<li><strong>Top Notes</strong>: Raspberry, Saffron</li>
 	<li><strong>Middle Notes</strong>: Amber, Vanilla</li>
 	<li><strong>Base Notes</strong>: Leather, Olibanum</li>
 	<li><strong>Lasting Power</strong>: 6–8 hours (may vary)</li>
 	<li><strong>Type of Fragrance</strong>: Fruity, Warm, Bold, Long Lasting</li>
 	<li><strong>Available Size</strong>:  100ml Bottle</li>
</ul>
<h4>Original Picture &amp; Video</h4>
[video width=""720"" height=""1280"" mp4=""https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Video-2025-05-12-at-4.33.48-PM-1.mp4""][/video]

<strong><img/></strong>","https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/junoon-perfume.webp,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-12-at-4.33.31-PM-scaled-1-1.jpeg,"
Luxurious Design Watch for Women | Michael Kors Watch | New Luxury Design,1,1521,30,"<h2>Luxurious Design Watch for Women | Michael Kors Watch | New Luxury Design</h2>
<strong>Description:</strong>

Elevate your style with the <strong>New Luxurious Design Watch</strong>, crafted for both men and women. Featuring a sleek quartz movement and modern luxury detailing, this versatile timepiece blends elegance with everyday durability—perfect for any occasion.
<p>Timeless elegance meets modern design in this <strong>luxury watch</strong>, ideal for both men and women. Powered by reliable quartz movement, it adds a refined touch to your daily or formal wear.</p>
<p><strong>Key Features:</strong></p>

<ul>
 	<li>
<p><strong>Luxury Look</strong> – Sleek dial with premium finish</p>
</li>
 	<li>
<p><strong>Quartz Movement</strong> – Accurate &amp; low-maintenance</p>
</li>
 	<li>
<p><strong>Comfortable Strap</strong> – Adjustable fit for all wrist sizes</p>
</li>
 	<li>
<p><strong>Scratch-Resistant Glass</strong> – Durable and long-lasting</p>
</li>
 	<li>
<p><strong>Lightweight &amp; Stylish</strong> – Perfect for daily wear</p>
</li>
 	<li>
<p><strong>Gift-Ready Packaging</strong> – Ideal for birthdays, anniversaries &amp; more</p>
</li>
 	<li>
<p><strong>Suitable for All Occasions</strong> – Casual, business, or formal events</p>
</li>
</ul>
&nbsp;
<h3>Real Video &amp; Images of the Product:</h3>
[video width=""372"" height=""850"" mp4=""https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Video-2025-05-17-at-2.58.15-PM.mp4""][/video]

<img/> <img/> <img/> <img/>","https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.58.03-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.58.05-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.58.06-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.58.06-PM-1.jpeg,,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.58.16-PM.jpeg"
Luxurious Design Watch for Women | Michael Kors Watch | New Luxury Design,4,1521,96,"<h2>Luxurious Design Watch for Women | Michael Kors Watch | New Luxury Design</h2>
<strong>Description:</strong>

Elevate your style with the <strong>New Luxurious Design Unisex Watch</strong>, crafted for both men and women. Featuring a sleek quartz movement and modern luxury detailing, this versatile timepiece blends elegance with everyday durability—perfect for any occasion.
<p>Timeless elegance meets modern design in this <strong>luxury unisex watch</strong>, ideal for both men and women. Powered by reliable quartz movement, it adds a refined touch to your daily or formal wear.</p>
<p><strong>Key Features:</strong></p>

<ul>
 	<li>
<p><strong>Unisex Design</strong> – Stylish for both men &amp; women</p>
</li>
 	<li>
<p><strong>Luxury Look</strong> – Sleek dial with premium finish</p>
</li>
 	<li>
<p><strong>Quartz Movement</strong> – Accurate &amp; low-maintenance</p>
</li>
 	<li>
<p><strong>Comfortable Strap</strong> – Adjustable fit for all wrist sizes</p>
</li>
 	<li>
<p><strong>Scratch-Resistant Glass</strong> – Durable and long-lasting</p>
</li>
 	<li>
<p><strong>Lightweight &amp; Stylish</strong> – Perfect for daily wear</p>
</li>
 	<li>
<p><strong>Gift-Ready Packaging</strong> – Ideal for birthdays, anniversaries &amp; more</p>
</li>
 	<li>
<p><strong>Suitable for All Occasions</strong> – Casual, business, or formal events</p>
</li>
</ul>
&nbsp;
<h3>Real Video &amp; Images of the Product:</h3>
[video width=""372"" height=""850"" mp4=""https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Video-2025-05-17-at-2.57.18-PM.mp4""][/video]

<img/> <img/> <img/> <img/> <img/>","https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.56.23-PM-1.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.56.33-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.56.23-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.56.24-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.56.25-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.56.27-PM.jpeg,"
"7-in-1 Ultra Smart Watch – Advanced Multi-Feature Fitness Tracker with Heart Rate Monitor, Sleep Tracking, Bluetooth Calling, Sports Modes &amp; More Random Color Straps",4,1972,23,"<h3>7-in-1 Ultra Smart Watch – Advanced Multi-Feature Fitness Tracker with Heart Rate Monitor, Sleep Tracking, Bluetooth Calling, Sports Modes &amp; More Random Color Straps</h3>
<h3>Description:</h3>
This 7 in 1 Ultra smartwatch is the perfect accessory for both men and women who want to stay connected and on top of their fitness game. With a sleek LED display, this smartwatch is both stylish and functional. It features Bluetooth call capabilities, allowing you to answer calls on the go. The wireless charging feature makes it easy to keep your watch charged and ready to go. The watchband is adjustable and comfortable to wear all day long. This smartwatch also includes heart rate, sleep monitoring, and all sports fitness and health modes. Whether you're running, cycling, or hitting the gym, this smartwatch has got you covered. Compatible with both Android and iOS, this smartwatch is the perfect gift for anyone who wants to stay connected and healthy, you can have this smartwatch in your hands in no time.

* LED display for clear visuals
* Compatible with Android and iOS devices
* 7 in 1 smartwatch with multiple features
* Wireless charging for convenience
* Heart rate and sleep monitoring for health tracking
* All sports fitness modes for active lifestyles
* Answer calls directly from the watch
* Fashionable design for men and women
<h3>Key Features:</h3>
<ul>
 	<li>High-Resolution Display: Clear and vibrant visuals.</li>
 	<li>Durable Design: Sleek stainless steel frame.</li>
 	<li>Long Battery Life: Stay connected all day.</li>
 	<li>7-in-1 Straps: Match your style effortlessly.</li>
 	<li>Health Monitoring: Heart rate, ECG, and blood oxygen tracking.</li>
 	<li>Fitness Tracking: Steps, calories, distance, and workout modes.</li>
 	<li>Seamless Connectivity: iPhone notifications, calls, and Bluetooth pairing.</li>
 	<li>Powerful Performance: Smooth and responsive interface.</li>
</ul>
<h3>Specifications:</h3>
<ul>
 	<li>FULL SCREEN</li>
 	<li>CALLING 📞</li>
 	<li>7 STRAP</li>
 	<li>CALORIES STEP DISTANCE</li>
 	<li>HEART RATE ❤️</li>
 	<li>BLOOD PRESSURE MEASURED</li>
 	<li>BLOOD OXYGEN</li>
 	<li>SPORTS ACTIVITIES INCLUDES</li>
 	<li>INDOOR RUNNING, INDOOR CYCLING, SIT-UPS , PUSH-UPS</li>
 	<li>NFC OPTION</li>
 	<li>SLEEP STATUS</li>
 	<li>MUSIC CONTROL 🎶</li>
 	<li>&amp; OTHER FUNCTIONS</li>
 	<li>WIRELESS CHARGER</li>
 	<li>OCEAN STRAP</li>
 	<li>USER MANUAL BOOK</li>
</ul>
<img/>

<img/>

<img/>

<img/>

<img/>

<img/>
<h4>Product Original Video</h4>
[video width=""720"" height=""1296"" mp4=""https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Video-2025-05-16-at-4.58.07-PM-online-video-cutter.com-2.mp4""][/video]

&nbsp;","https://hhcdropshipping.com/Member/wp-content/uploads/2024/08/WhatsApp-Image-2024-08-15-at-5.32.05-PM.jpeg,"
New Luxurious Design Watch for Men &amp; Women | Unisex Watch | Quartz | New Luxury Design,3,1521,25,"<h2>New Luxurious Design Watch for Men &amp; Women | Unisex Watch | Quartz | New Luxury Design</h2>
<strong>Description:</strong>

Elevate your style with the <strong>New Luxurious Design Unisex Watch</strong>, crafted for both men and women. Featuring a sleek quartz movement and modern luxury detailing, this versatile timepiece blends elegance with everyday durability—perfect for any occasion.
<p>Timeless elegance meets modern design in this <strong>luxury unisex watch</strong>, ideal for both men and women. Powered by reliable quartz movement, it adds a refined touch to your daily or formal wear.</p>
<p><strong>Key Features:</strong></p>

<ul>
 	<li>
<p><strong>Unisex Design</strong> – Stylish for both men &amp; women</p>
</li>
 	<li>
<p><strong>Luxury Look</strong> – Sleek dial with premium finish</p>
</li>
 	<li>
<p><strong>Quartz Movement</strong> – Accurate &amp; low-maintenance</p>
</li>
 	<li>
<p><strong>Comfortable Strap</strong> – Adjustable fit for all wrist sizes</p>
</li>
 	<li>
<p><strong>Scratch-Resistant Glass</strong> – Durable and long-lasting</p>
</li>
 	<li>
<p><strong>Lightweight &amp; Stylish</strong> – Perfect for daily wear</p>
</li>
 	<li>
<p><strong>Gift-Ready Packaging</strong> – Ideal for birthdays, anniversaries &amp; more</p>
</li>
 	<li>
<p><strong>Suitable for All Occasions</strong> – Casual, business, or formal events</p>
</li>
</ul>
&nbsp;
<h3>Real Video &amp; Images of the Product:</h3>
[video width=""372"" height=""850"" mp4=""https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Video-2025-05-17-at-2.49.48-PM.mp4""][/video]

<img/> <img/> <img/> <img/> <img/>","https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.47.37-PM-1.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.47.35-PM-1-1.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.47.34-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.47.35-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.47.35-PM-1.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.47.36-PM.jpeg,https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-17-at-2.47.37-PM.jpeg,"
"Set Of 3 Flower Sticky Canvas Phototiles Frame For Wall, Home Decor",2,334,60,"<h3><strong>Set of 3 Flower Sticky Canvas Photo Tiles – 8×11 Inch Wall Décor for Home, Bedroom &amp; Living Room</strong></h3>
<p><strong>Description:</strong></p>
<p>Brighten up your walls with this <strong>Set of 3 Flower Sticky Canvas Photo Tiles</strong>, featuring vibrant floral designs printed on high-quality canvas. These elegant, lightweight frames are <strong>8×11 inches per frame</strong></p>
<p>Perfect for any room in your home, from the <strong>living room and bedroom to hallways or entryways</strong>, these flower-themed canvas tiles add a natural, refreshing aesthetic to your décor.</p>
Size per frame 8×11 inches

<img/>

High-Quality Printing.

2-3mm thick wooden back frame.

No additional hanging hardware is required.
<p>double tape include for paste on wall</p>",https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/fdsg-1.jpg
"3PCS Islamic Calligraphy Wall Frame Set: Arabic Calligraphy Art for Bedroom and Drawing Room Decor, Perfect Home Decoration Wall Frames",2,531,16,"<h2>Product details of 3PCS Islamic Calligraphy Wall Frame Set: Arabic Calligraphy Art for Bedroom and Drawing Room Decor, Perfect Home Decoration Wall Frames</h2>
<div>
<div>
<div>
<ul>
 	<li>Elegant Islamic Calligraphy: Features exquisite Arabic calligraphy,adding spiritual significance and artistic sophistication to your home decor.</li>
 	<li>Versatile Decor: Complements both contemporary andtraditional decor styles, suitable for displaying together as a set orseparately to accent different areas of your home.</li>
 	<li>Durable PVC Framing: Encased in robust yet lightweight PVCframes, ensuring long-lasting protection and a sleek, modern look.</li>
 	<li>High-Quality Digital Printing: Vibrant and precise digital prints maintaintheir color and clarity over time, capturing the intricate beauty of thedesigns.</li>
 	<li>Perfect Size: Each frame measures 8 inches in width and 10inches in length, making them ideal for creating a captivating focal point onany wall.</li>
 	<li>Meaningful Addition: Offers a profound visual representation offaith and culture, inviting a sense of peace and inspiration into your livingspace.</li>
</ul>
</div>
<div><article>Introducing our 3PCS Islamic Wall Art Frames, an exquisite collection designed to elevate your home decor with the timeless beauty of Arabic calligraphy. Perfect for adding a touch of elegance to your bedroom or drawing room, this set features three stunning frames that blend spiritual significance with artistic sophistication.Each frame measures 8 inches in width and 10 inches in length, making them the ideal size to create a captivating focal point on any wall. The frames are encased in durable PVC framing, ensuring they remain pristine and secure while adding a sleek, modern touch to your decor. The PVC material is not only robust but also lightweight, making it easy to hang and rearrange as you see fit.Our Islamic wall art frames utilize high-quality digital printing, delivering vibrant and precise details that capture the intricate beauty of Arabic calligraphy. The digital prints are crafted to maintain their color and clarity over time, ensuring your wall art remains as stunning as the day you first displayed it.This 3PCS set showcases elegant Islamic calligraphy, offering a profound visual representation of faith and culture. The harmonious blend of artistic expression and spiritual messages makes these frames a meaningful addition to any home, inviting a sense of peace and inspiration into your living space.

Whether you choose to display them together as a cohesive set or separately to accent different areas of your home, these frames are versatile enough to complement both contemporary and traditional decor styles. Bring home this beautiful 3PCS Islamic Wall Art Frame Set today and transform your space with the enduring beauty of Arabic calligraphy and the superior craftsmanship of PVC framing and digital printing.
<ul>
 	<li>one frame size ;8 x 11 inch</li>
</ul>
</article></div>
</div>
</div>",https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/71co0C-sFL._AC_SX569_.jpg
Zikr Tasbih Abstract Marble Trio | Islamic Wall Art | Set of 3 Canvases,1,531,49,"<div>
<ul>
 	<li><span>High definition giclee printing on premium quality 320gm polyester canvas</span></li>
</ul>
</div>
<div>
<ul>
 	<li><span>Features: Fade resistant, UV resistant, waterproof, easy to clean, long-lasting</span></li>
</ul>
</div>
<div>
<ul>
 	<li><span>Packaging: Prints are rolled and protected inside a strong PVC tube</span></li>
</ul>
</div>
<div>
<ul>
 	<li><span>Versatile: All canvas prints are UNFRAMED (Frames can be purchased separately</span></li>
 	<li>weight <span>320gm</span></li>
 	<li>size ; 8 x 11 inch</li>
</ul>
</div>",https://hhcdropshipping.com/Member/wp-content/uploads/2025/05/718y9wedUeL._AC_SX679_.jpg
